1: P: started
1283: O 1074: started
1284: O 205: arrived to 1
1285: O 1075: started
1286: O 5350: started
1287: O 1077: started
1288: O 5365: started
1289: O 1078: started
1290: O 1079: started
1291: O 1080: started
1292: O 5380: started
1293: O 207: arrived to 1
1294: O 1082: started
1295: O 1083: started
1296: O 209: started
1297: O 208: arrived to 1
1298: O 1085: started
1299: O 1086: started
1300: O 1087: started
1301: O 5405: started
1302: O 1084: arrived to 1
1303: O 5411: started
1304: O 1090: started
1305: O 5419: started
1306: O 1091: started
1307: O 1092: started
1308: O 1093: started
1309: O 5433: started
1310: O 211: arrived to 1
1311: O 1095: started
1312: O 1096: started
1313: O 1097: started
1314: O 1098: started
1315: O 5459: started
1316: O 212: arrived to 0
1317: O 1100: started
1318: O 1101: started
1319: O 5472: started
1320: O 1102: started
1321: O 1103: started
1322: O 215: started
1323: O 214: arrived to 0
1324: O 1105: started
1325: O 5492: started
1326: O 1107: started
1327: O 1104: arrived to 1
1328: O 1108: started
1329: O 5508: started
1330: O 217: started
1331: O 216: arrived to 0
1332: O 1111: started
1333: O 1112: started
1334: O 1113: started
1335: O 1114: started
1336: O 1110: arrived to 1
1337: O 1115: started
1338: O 5589: started
1339: O 218: arrived to 1
1340: O 5593: started
1341: O 5635: started
1342: O 1119: started
1343: O 5674: started
1344: O 219: arrived to 1
1345: O 5698: started
1346: O 5661: started
1347: O 5712: started
1348: O 1122: started
1349: O 220: arrived to 0
1350: O 5661: arrived to 0
1351: O 1126: started
1352: O 5717: started
1353: O 5719: started
1354: O 5719: arrived to 0
1355: O 5722: started
1356: O 5727: started
1357: O 223: started
1358: O 222: arrived to 0
1359: O 1132: started
1360: O 1133: started
1361: O 1134: started
1362: O 1131: arrived to 0
1363: O 1135: started
1364: O 1136: started
1365: O 1137: started
1366: O 224: arrived to 1
1367: O 1138: started
1368: O 5739: started
1369: O 1140: started
1370: O 1141: started
1371: O 5801: started
1372: O 5802: started
1373: O 1143: started
1374: O 1144: started
1375: O 5813: started
1376: O 5817: started
1377: O 226: arrived to 0
1378: O 1147: started
1379: O 228: started
1380: O 1148: started
1381: O 227: arrived to 1
1382: O 1150: started
1383: O 5842: started
1384: O 1152: started
1385: O 1153: started
1386: O 1149: arrived to 0
1387: O 1154: started
1388: O 1155: started
1389: O 1156: started
1390: O 1157: started
1391: O 229: arrived to 0
1392: O 1158: started
1393: O 5867: started
1394: O 1160: started
1395: O 230: arrived to 1
1396: O 1161: started
1397: O 1162: started
1398: O 5919: started
1399: O 1164: started
1400: O 231: arrived to 0
1401: O 1165: started
1402: O 1166: started
1403: O 1167: started
1404: O 1168: started
1405: O 1169: started
1406: O 1170: started
1407: O 233: started
1408: O 5942: started
1409: O 1172: started
1410: O 5949: started
1411: O 1173: started
1412: O 1171: arrived to 1
1413: O 1175: started
1414: O 5960: started
1415: O 1177: started
1416: O 5966: started
1417: O 5966: arrived to 0
1418: O 234: arrived to 0
1419: O 1180: started
1420: O 1181: started
1421: O 5980: started
1422: O 1183: started
1423: O 5987: started
1424: O 235: arrived to 1
1425: O 1185: started
1426: O 5997: started
1427: O 1187: started
1428: O 236: arrived to 0
1429: O 1188: started
1430: O 1189: started
1431: O 1190: started
1432: O 1191: started
1433: O 1192: started
1434: O 237: arrived to 0
1435: O 1193: started
1436: O 1194: started
1437: O 239: started
1438: O 238: arrived to 0
1439: O 1196: started
1440: O 1197: started
1441: O 6065: started
1442: O 6068: started
1443: O 1195: arrived to 0
